matchNo,Date,Time,Team1,Team2,Score1,Score2,Note,﻿Date,Date.2,Match No.,Home_team,Away_team,Stadium,City,Round,Home_team_score,Away_team_score,Remark,Referee_name,Assistant Referee 1,Assistant Referee 2,Fourth official,Attendance,Assistant_referee_1_name,Assistant_referee_2_name,Fourth_official_name,﻿matchNo,season_label,season_start_year,season_end_year,stage,source_file
25,31.10.2001,20:00,Al Wehda,Al-Ittihad FC,0,4,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
26,31.10.2001,20:00,Al Ahli SC,Al-Hilal,2,4,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
27,01.11.2001,20:00,Al-Shoalah,Al Ansar,2,1,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
28,01.11.2001,20:00,Al Taee,Al-Shabab,1,2,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
29,04.11.2001,20:00,Al-Nassr,Al-Ittihad FC,1,1,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
30,04.11.2001,20:00,Al Taee,Al-Hilal,0,4,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
31,05.11.2001,20:00,Al Ahli SC,Al Riyadh,3,0,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
32,07.11.2001,20:00,Al Riyadh,Al Taee,3,2,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
33,08.11.2001,20:00,Al-Shoalah,Al-Hilal,0,0,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
34,08.11.2001,20:00,Al-Shabab,Al Wehda,1,1,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
35,08.11.2001,20:00,Al Ansar,Al Najma,2,1,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
36,08.11.2001,20:00,Al Ahli SC,Al-Nassr,2,1,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
37,13.11.2001,20:00,Al-Nassr,Al-Shoalah,2,0,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
38,13.11.2001,20:00,Al Wehda,Al Riyadh,2,2,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
39,13.11.2001,20:00,Al Ahli SC,Al Taee,3,1,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
40,14.11.2001,20:00,Al-Shabab,Al-Ittihad FC,0,0,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
41,14.11.2001,20:00,Al-Ettifaq,Al Ansar,1,1,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
42,18.11.2001,20:00,Al Riyadh,Al-Shabab,0,1,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
43,18.11.2001,20:00,Al Najma,Al-Nassr,0,3,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
44,18.11.2001,20:00,Al Ahli SC,Al Wehda,1,1,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
45,19.11.2001,20:00,Al-Ittihad FC,Al Ansar,5,2,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
46,19.11.2001,20:00,Al-Hilal,Al-Ettifaq,3,0,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
47,19.11.2001,20:00,Al Taee,Al-Shoalah,0,1,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
48,23.11.2001,20:00,Al Najma,Al Taee,2,1,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
49,23.11.2001,20:00,Al Ahli SC,Al-Shabab,2,1,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
50,24.11.2001,20:00,Al-Shoalah,Al Wehda,1,0,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
51,24.11.2001,20:00,Al-Nassr,Al-Ettifaq,2,2,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
52,29.11.2001,20:00,Al-Shabab,Al-Shoalah,0,0,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
53,29.11.2001,20:00,Al-Ettifaq,Al Taee,3,1,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
54,29.11.2001,20:00,Al Riyadh,Al-Ittihad FC,2,1,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
55,29.11.2001,20:00,Al Najma,Al Wehda,1,1,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
56,29.11.2001,20:00,Al Ansar,Al-Nassr,2,4,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
57,03.12.2001,20:00,Al-Shabab,Al Najma,2,3,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
58,03.12.2001,20:00,Al Wehda,Al-Ettifaq,1,2,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
59,03.12.2001,20:00,Al Taee,Al Ansar,1,1,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
60,04.12.2001,20:00,Al-Hilal,Al-Nassr,0,0,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
61,11.12.2001,20:00,Al-Ittihad FC,Al-Hilal,1,1,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
62,19.12.2001,20:00,Al-Ettifaq,Al-Hilal,0,4,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
63,19.12.2001,20:00,Al Riyadh,Al Najma,4,2,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
64,19.12.2001,20:00,Al Ansar,Al Wehda,2,2,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
65,23.12.2001,20:00,Al Taee,Al-Nassr,2,1,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
66,23.12.2001,20:00,Al Riyadh,Al-Ettifaq,2,1,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
67,24.12.2001,20:00,Al Ansar,Al-Ittihad FC,1,2,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
68,24.12.2001,20:00,Al Ahli SC,Al Najma,5,2,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
69,27.12.2001,20:00,Al Taee,Al-Ittihad FC,2,1,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
70,27.12.2001,20:00,Al Riyadh,Al Ansar,2,3,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
71,28.12.2001,20:00,Al-Nassr,Al Wehda,3,0,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
72,28.12.2001,20:00,Al Najma,Al-Shoalah,0,0,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
73,28.12.2001,20:00,Al Ahli SC,Al-Ettifaq,2,0,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
74,02.01.2002,20:00,Al Wehda,Al Taee,0,1,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
75,03.01.2002,20:00,Al-Hilal,Al Riyadh,1,1,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
76,03.01.2002,20:00,Al-Ettifaq,Al-Shoalah,1,0,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
77,03.01.2002,20:00,Al Ahli SC,Al Ansar,3,1,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
78,09.01.2002,20:00,Al-Hilal,Al Wehda,3,0,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
79,09.01.2002,20:00,Al Ansar,Al-Shabab,0,1,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
80,10.01.2002,16:00,Al-Ittihad FC,Al-Ettifaq,1,0,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
81,10.01.2002,20:00,Al-Nassr,Al Ahli SC,2,0,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
82,10.01.2002,20:00,Al-Ittihad FC,Al-Shoalah,2,0,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
83,10.01.2002,20:00,Al-Hilal,Al-Shoalah,2,0,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
84,10.01.2002,20:00,Al Wehda,Al-Shabab,0,1,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
85,10.01.2002,20:00,Al Taee,Al Riyadh,2,4,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
86,10.01.2002,20:00,Al Najma,Al Ansar,2,0,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
87,13.01.2002,20:00,Al-Shabab,Al Taee,0,1,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
88,13.01.2002,20:00,Al Najma,Al-Ettifaq,2,0,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
89,14.01.2002,20:00,Al Riyadh,Al-Nassr,1,1,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
90,15.01.2002,20:00,Al-Ittihad FC,Al Wehda,3,0,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
91,15.01.2002,20:00,Al-Hilal,Al Ahli SC,2,0,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
92,15.01.2002,20:00,Al Ansar,Al-Shoalah,1,1,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
93,21.01.2002,20:00,Al-Shoalah,Al Ahli SC,0,2,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
94,21.01.2002,20:00,Al-Shabab,Al-Hilal,1,2,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
95,21.01.2002,20:00,Al Najma,Al-Ittihad FC,2,3,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
96,21.01.2002,20:00,Al Ansar,Al-Ettifaq,2,2,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
97,29.01.2002,20:00,Al-Hilal,Al Najma,3,2,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
98,11.02.2002,20:00,Al-Hilal,Al Ansar,5,2,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
99,11.02.2002,20:00,Al Taee,Al Ahli SC,0,0,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
100,12.02.2002,20:00,Al-Shoalah,Al-Nassr,0,1,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
101,12.02.2002,20:00,Al-Ittihad FC,Al-Shabab,3,2,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
102,12.02.2002,20:00,Al Riyadh,Al Wehda,3,1,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
103,27.02.2002,20:00,Al-Shabab,Al Riyadh,1,1,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
104,28.02.2002,20:00,Al-Shoalah,Al Taee,1,1,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
105,28.02.2002,20:00,Al-Nassr,Al Najma,4,1,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
106,28.02.2002,20:00,Al Wehda,Al Ahli SC,1,2,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
107,05.03.2002,20:00,Al-Shabab,Al Ahli SC,1,3,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
108,06.03.2002,20:00,Al-Ittihad FC,Al Riyadh,10,3,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
109,06.03.2002,20:00,Al Taee,Al Najma,0,1,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
110,07.03.2002,20:00,Al-Ettifaq,Al-Nassr,0,1,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
111,07.03.2002,20:00,Al Wehda,Al-Shoalah,2,0,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
112,13.03.2002,20:00,Al-Nassr,Al Ansar,3,1,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
113,13.03.2002,20:00,Al Taee,Al-Ettifaq,1,1,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
114,14.03.2002,20:00,Al Wehda,Al Najma,4,4,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
115,15.03.2002,20:00,Al-Shoalah,Al-Shabab,1,4,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
116,16.03.2002,20:00,Al-Hilal,Al-Ittihad FC,1,1,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
117,20.03.2002,20:00,Al Riyadh,Al-Shoalah,0,3,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
118,20.03.2002,20:00,Al Ansar,Al Taee,0,7,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
119,21.03.2002,20:00,Al-Nassr,Al-Hilal,3,2,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
120,21.03.2002,20:00,Al-Ettifaq,Al Wehda,2,1,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
121,21.03.2002,20:00,Al Najma,Al-Shabab,4,3,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
122,28.03.2002,20:00,Al Wehda,Al Ansar,3,2,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
123,28.03.2002,20:00,Al Najma,Al Riyadh,2,1,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
124,28.03.2002,20:00,Al Ahli SC,Al-Shoalah,1,1,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
125,29.03.2002,20:00,Al-Shabab,Al-Ettifaq,1,1,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
126,29.03.2002,20:00,Al-Ittihad FC,Al-Nassr,3,2,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
127,03.04.2002,19:00,Al Riyadh,Al Ahli SC,1,1,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
128,05.04.2002,19:00,Al-Ettifaq,Al-Shabab,2,1,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
129,06.04.2002,19:00,Al Ansar,Al-Hilal,1,6,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
130,08.04.2002,19:00,Al-Ittihad FC,Al Ahli SC,4,1,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
131,09.04.2002,19:00,Al-Nassr,Al-Shabab,0,0,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
132,10.04.2002,19:00,Al-Hilal,Al Taee,6,0,,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
134,14.04.2002,14:00,Al-Nassr,Al Ahli SC,1,0,Quarter-finals,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
135,19.04.2002,14:00,Al-Ittihad FC,Al-Nassr,2,1,Semi-finals,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
136,01.05.2002,14:00,Al-Hilal,Al-Ittihad FC,2,1,Final,,,,,,,,,,,,,,,,,,,,,2001-2002,2001,2002,FS,SPL-2001-2002-FS.csv
1,23.10.2002,19:00,Al-Hilal,Al-Raed,1,0,,,,,,,,,,,,,,,,,,,,,,2002-2003,2002,2003,FS,SPL-2002-2003-FS.csv
2,23.10.2002,19:00,Al Taee,Al-Nassr,2,2,,,,,,,,,,,,,,,,,,,,,,2002-2003,2002,2003,FS,SPL-2002-2003-FS.csv
3,24.10.2002,19:00,Al-Shoalah,Al-Ettifaq,3,2,,,,,,,,,,,,,,,,,,,,,,2002-2003,2002,2003,FS,SPL-2002-2003-FS.csv
4,24.10.2002,19:00,Al-Ittihad FC,Al Qadisiya,1,0,,,,,,,,,,,,,,,,,,,,,,2002-2003,2002,2003,FS,SPL-2002-2003-FS.csv
5,24.10.2002,19:00,Al Najma,Al Riyadh,0,1,,,,,,,,,,,,,,,,,,,,,,2002-2003,2002,2003,FS,SPL-2002-2003-FS.csv
6,27.10.2002,20:00,Al Taee,Al-Hilal,1,2,,,,,,,,,,,,,,,,,,,,,,2002-2003,2002,2003,FS,SPL-2002-2003-FS.csv
7,27.10.2002,20:00,Al Ahli SC,Al-Shabab,2,4,,,,,,,,,,,,,,,,,,,,,,2002-2003,2002,2003,FS,SPL-2002-2003-FS.csv
8,30.10.2002,20:00,Al-Nassr,Al Najma,2,0,,,,,,,,,,,,,,,,,,,,,,2002-2003,2002,2003,FS,SPL-2002-2003-FS.csv
9,31.10.2002,20:00,Al-Ettifaq,Al Ahli SC,0,4,,,,,,,,,,,,,,,,,,,,,,2002-2003,2002,2003,FS,SPL-2002-2003-FS.csv
10,31.10.2002,20:00,Al Riyadh,Al-Shoalah,3,1,,,,,,,,,,,,,,,,,,,,,,2002-2003,2002,2003,FS,SPL-2002-2003-FS.csv
11,01.11.2002,20:00,Al-Shabab,Al-Ittihad FC,0,1,,,,,,,,,,,,,,,,,,,,,,2002-2003,2002,2003,FS,SPL-2002-2003-FS.csv
12,01.11.2002,20:00,Al-Raed,Al Taee,2,3,,,,,,,,,,,,,,,,,,,,,,2002-2003,2002,2003,FS,SPL-2002-2003-FS.csv
13,01.11.2002,20:00,Al Qadisiya,Al-Hilal,2,1,,,,,,,,,,,,,,,,,,,,,,2002-2003,2002,2003,FS,SPL-2002-2003-FS.csv
14,04.11.2002,20:00,Al Ahli SC,Al-Nassr,3,2,,,,,,,,,,,,,,,,,,,,,,2002-2003,2002,2003,FS,SPL-2002-2003-FS.csv
15,06.11.2002,20:00,Al-Shabab,Al Qadisiya,1,2,,,,,,,,,,,,,,,,,,,,,,2002-2003,2002,2003,FS,SPL-2002-2003-FS.csv
16,07.11.2002,20:00,Al-Ittihad FC,Al-Ettifaq,3,1,,,,,,,,,,,,,,,,,,,,,,2002-2003,2002,2003,FS,SPL-2002-2003-FS.csv
17,07.11.2002,20:00,Al-Hilal,Al Taee,0,2,,,,,,,,,,,,,,,,,,,,,,2002-2003,2002,2003,FS,SPL-2002-2003-FS.csv
18,08.11.2002,20:00,Al-Shoalah,Al-Nassr,1,3,,,,,,,,,,,,,,,,,,,,,,2002-2003,2002,2003,FS,SPL-2002-2003-FS.csv
19,08.11.2002,20:00,Al Najma,Al-Raed,1,2,,,,,,,,,,,,,,,,,,,,,,2002-2003,2002,2003,FS,SPL-2002-2003-FS.csv
20,08.11.2002,20:00,Al Ahli SC,Al Riyadh,3,0,,,,,,,,,,,,,,,,,,,,,,2002-2003,2002,2003,FS,SPL-2002-2003-FS.csv
21,13.11.2002,20:00,Al-Raed,Al-Shoalah,0,4,,,,,,,,,,,,,,,,,,,,,,2002-2003,2002,2003,FS,SPL-2002-2003-FS.csv
22,13.11.2002,20:00,Al-Hilal,Al-Shabab,2,1,,,,,,,,,,,,,,,,,,,,,,2002-2003,2002,2003,FS,SPL-2002-2003-FS.csv
23,14.11.2002,20:00,Al-Ettifaq,Al Qadisiya,1,2,,,,,,,,,,,,,,,,,,,,,,2002-2003,2002,2003,FS,SPL-2002-2003-FS.csv
24,14.11.2002,20:00,Al Taee,Al Najma,2,1,,,,,,,,,,,,,,,,,,,,,,2002-2003,2002,2003,FS,SPL-2002-2003-FS.csv
25,14.11.2002,20:00,Al Riyadh,Al-Ittihad FC,1,2,,,,,,,,,,,,,,,,,,,,,,2002-2003,2002,2003,FS,SPL-2002-2003-FS.csv
26,17.11.2002,20:00,Al-Hilal,Al-Shoalah,0,0,,,,,,,,,,,,,,,,,,,,,,2002-2003,2002,2003,FS,SPL-2002-2003-FS.csv
27,20.11.2002,20:00,Al-Shabab,Al-Ettifaq,0,0,,,,,,,,,,,,,,,,,,,,,,2002-2003,2002,2003,FS,SPL-2002-2003-FS.csv
28,21.11.2002,20:00,Al-Nassr,Al-Ittihad FC,2,4,,,,,,,,,,,,,,,,,,,,,,2002-2003,2002,2003,FS,SPL-2002-2003-FS.csv
29,21.11.2002,20:00,Al Qadisiya,Al Riyadh,1,0,,,,,,,,,,,,,,,,,,,,,,2002-2003,2002,2003,FS,SPL-2002-2003-FS.csv
30,22.11.2002,20:00,Al-Shoalah,Al Taee,3,1,,,,,,,,,,,,,,,,,,,,,,2002-2003,2002,2003,FS,SPL-2002-2003-FS.csv
31,22.11.2002,20:00,Al Najma,Al-Hilal,1,2,,,,,,,,,,,,,,,,,,,,,,2002-2003,2002,2003,FS,SPL-2002-2003-FS.csv
32,10.12.2002,20:00,Al-Nassr,Al Qadisiya,1,2,,,,,,,,,,,,,,,,,,,,,,2002-2003,2002,2003,FS,SPL-2002-2003-FS.csv
33,10.12.2002,20:00,Al-Ittihad FC,Al-Raed,3,2,,,,,,,,,,,,,,,,,,,,,,2002-2003,2002,2003,FS,SPL-2002-2003-FS.csv
34,10.12.2002,20:00,Al Taee,Al Ahli SC,1,1,,,,,,,,,,,,,,,,,,,,,,2002-2003,2002,2003,FS,SPL-2002-2003-FS.csv
35,10.12.2002,20:00,Al Najma,Al-Shoalah,1,1,,,,,,,,,,,,,,,,,,,,,,2002-2003,2002,2003,FS,SPL-2002-2003-FS.csv
36,11.12.2002,20:00,Al-Hilal,Al-Ettifaq,3,1,,,,,,,,,,,,,,,,,,,,,,2002-2003,2002,2003,FS,SPL-2002-2003-FS.csv
37,11.12.2002,20:00,Al Riyadh,Al-Shabab,0,3,,,,,,,,,,,,,,,,,,,,,,2002-2003,2002,2003,FS,SPL-2002-2003-FS.csv
38,15.12.2002,20:00,Al-Shoalah,Al-Hilal,1,3,,,,,,,,,,,,,,,,,,,,,,2002-2003,2002,2003,FS,SPL-2002-2003-FS.csv
39,15.12.2002,20:00,Al-Shabab,Al-Nassr,2,2,,,,,,,,,,,,,,,,,,,,,,2002-2003,2002,2003,FS,SPL-2002-2003-FS.csv
40,15.12.2002,20:00,Al Qadisiya,Al-Raed,2,2,,,,,,,,,,,,,,,,,,,,,,2002-2003,2002,2003,FS,SPL-2002-2003-FS.csv
41,15.12.2002,20:00,Al Ahli SC,Al Najma,3,1,,,,,,,,,,,,,,,,,,,,,,2002-2003,2002,2003,FS,SPL-2002-2003-FS.csv
42,16.12.2002,20:00,Al-Ittihad FC,Al Taee,1,1,,,,,,,,,,,,,,,,,,,,,,2002-2003,2002,2003,FS,SPL-2002-2003-FS.csv
43,16.12.2002,20:00,Al-Ettifaq,Al Riyadh,1,0,,,,,,,,,,,,,,,,,,,,,,2002-2003,2002,2003,FS,SPL-2002-2003-FS.csv
44,19.12.2002,20:00,Al-Shoalah,Al Ahli SC,3,3,,,,,,,,,,,,,,,,,,,,,,2002-2003,2002,2003,FS,SPL-2002-2003-FS.csv
45,19.12.2002,20:00,Al-Raed,Al-Shabab,1,3,,,,,,,,,,,,,,,,,,,,,,2002-2003,2002,2003,FS,SPL-2002-2003-FS.csv
46,20.12.2002,20:00,Al-Nassr,Al-Ettifaq,0,0,,,,,,,,,,,,,,,,,,,,,,2002-2003,2002,2003,FS,SPL-2002-2003-FS.csv
47,20.12.2002,20:00,Al Taee,Al Qadisiya,0,3,,,,,,,,,,,,,,,,,,,,,,2002-2003,2002,2003,FS,SPL-2002-2003-FS.csv
48,20.12.2002,20:00,Al Najma,Al-Ittihad FC,1,4,,,,,,,,,,,,,,,,,,,,,,2002-2003,2002,2003,FS,SPL-2002-2003-FS.csv
49,21.12.2002,20:00,Al Riyadh,Al-Hilal,1,1,,,,,,,,,,,,,,,,,,,,,,2002-2003,2002,2003,FS,SPL-2002-2003-FS.csv
50,23.12.2002,20:00,Al-Raed,Al Ahli SC,0,5,,,,,,,,,,,,,,,,,,,,,,2002-2003,2002,2003,FS,SPL-2002-2003-FS.csv
